A00,Cholera
A02.0,Salmonellosis
A03,Shigellosis
A05.2,Pig-bel
A06,Amebiasis
A07.0,Balantidiasis
A07.2,Cryptosporidiosis
A07.3,Isosporiasis
A07.3,Isosporosis
A07.4,Cyclosporiasis
A07.8,Sarcocystosis
A07.8,Sarcosporidiosis
A18.4,Scrofuloderma
A20,Plague
A21,Tularemia
A22,Anthrax
A23,Brucellosis
A24.0,Glanders
A24.0,Malleus
A25.0,Spirillosis
A25.0,Sodoku
A25.1,Streptobacillosis
A26,Erysipeloid
A27,Leptospirosis
A28.0,Pasteurellosis
A32,Listeriosis
A36,Diphtheria
A42,Actinomycosis
A43,Nocardiosis
A44,Bartonellosis
A46,Erysipelas
A52.3,Syphiloma
A55,Esthiomene
A57,Chancroid
A58,Donovanosis
A59,Trichomoniasis
A65,Bejel
A65,Njovera
A66,Yaws
A66,pian
A66.1,Frambesioma
A66.1,Pianoma
A66.5,Gangosa
A67.1,Pintids
A69.0,Noma
A69.22,Meningoencephalitis
A69.22,Polyneuropathy
A70,Ornithosis
A70,Psittacosis
A71,Trachoma
A74.0,Paratrachoma
A77.4,Ehrlichiosis
A81.01,vCJD
A81.09,CJD
A81.81,Kuru
A81.83,FFI
A82,Rabies
B02,zona
B03,Smallpox
B04,Monkeypox
B05,Measles
B08.010,Cowpox
B08.5,Herpangina
B08.62,Sealpox
B26,Mumps
B35,Dermatophytosis
B35.0,Kerion
B35.1,Onychomycosis
B35.5,Tokelau
B37,Candidiasis
B37,moniliasis
B38,Coccidioidomycosis
B39,Histoplasmosis
B40,Blastomycosis
B41,Paracoccidioidomycosis
B42,Sporotrichosis
B44,Aspergillosis
B45,Cryptococcosis
B46,Zygomycosis
B46.8,Entomophthoromycosis
B47,Mycetoma
B47.0,Eumycetoma
B47.0,Maduromycosis
B47.1,Actinomycetoma
B48.0,Lobomycosis
B48.1,Rhinosporidiosis
B48.2,Allescheriasis
B48.3,Geotrichosis
B48.4,Penicillosis
B48.8,Adiaspiromycosis
B55,Leishmaniasis
B58,Toxoplasmosis
B59,Pneumocystosis
B60.0,Babesiosis
B60.0,Piroplasmosis
B60.1,Acanthamebiasis
B60.2,Naegleriasis
B60.8,Microsporidiosis
B66.0,Opisthorchiasis
